対象年齢最低	アレルギー対応	メニュー詳細	場所	予約	小上がりの有無	子供用イスの有無	備考
選ぶ小鉢のランチ	2	不可	シシコロッケ、塩こうじ唐揚げ、季節の煮物、季節のお浸し、サラダ、卵焼き、など	こってコテいけだ	不要	無	有	
カレーライス	5	不可	カレーライス（甘口ではない）	こってコテいけだ	不要	無	有	
ハッシュドビーフ	4	不可	ハッシュドビーフ（辛くない）	こってコテいけだ	不要	無	有	
かけうどん	1	不可	かけうどん	こってコテいけだ	不要	無	有	
おもちの定食	5	不可	季節のお昼膳（おこわ、おぞうに、季節のてんぷらほか）	おもちの母屋	不要	無	有	
天然アユの塩焼き定食	10	不可	天然アユの塩焼きの定食	喫茶　香	不要	無	無	
シシちゃんカレー	13	不可	シシ肉のカレーライス	喫茶　香	不要	無	無	
オムライス	4	不可	オムライス	喫茶　香	不要	無	無	
どんぶり	7	不可	親子丼など	しらほ食堂	不要	無	無	
ラーメン	7	不可	中華そば	しらほ食堂	不要	無	無	
そば（一福）	5	不可	塩だしのおろしそばや生醤油のそばなど	そば処一福	不要	有	無	
そば（水車）	3	不可	山菜おろしそばややまかけそばなど	水車	不要	有	無	
季節のランチ	2	可（完全除去不可）	旬のスローフードランチ（1500円から）	ファームハウス・コムニタ	要（4人以上から利用可）	有	無	
きびだんご	2	不可	池田でしか食べられないできたてきびだんご	ぬくもり茶屋	不要	無	無	4～11月の日曜のみ営業
そば（そば道場）	3	不可	おろしそば、大ざるそばなど	ふるさとふれあい道場	不要	有	無	
うどん（そば道場）	1	不可	かけうどん、てんぷらうどんなど（ゆで汁はそばと同じ）	ふるさとふれあい道場	不要	有	無	
各種おにぎり	1	不可	池田の食材が入ったおにぎり各種	ツリーピクニックアドベンチャーいけだ	不要	無	無	冬季休業
池田バーガー	4	不可	池田牛のハンバーガー	ツリーピクニックアドベンチャーいけだ	不要	無	無	冬季休業
ラーメン（スキー場）	3	不可	スキー場レストランのラーメン	新保ファミリースキー場	不要	無	有	スキー場営業中のみ営業
うどん（スキー場）	1	不可	スキー場レストランのうどん	新保ファミリースキー場	不要	無	有	スキー場営業中のみ営業
お子様カレー（スキー場）	3	不可	スキー場レストランの甘口カレー	新保ファミリースキー場	不要	無	有	スキー場営業中のみ営業
たこやき	3	不可	スキー場レストランのたこやき	新保ファミリースキー場	不要	無	有	スキー場営業中のみ営業
ホットケーキ	1	不可	スキー場レストランのホットケーキ	新保ファミリースキー場	不要	無	有	スキー場営業中のみ営業
プリン	2	不可	池田町産たまごのプリン	こってコテいけだ	不要	無	有	
池田の豆乳アイス	2	不可	池田の豆乳を使ったアイス。トマト、エゴマ、きなこの3種類	こってコテいけだ	不要	無	有	
米粉ケークサレ（小麦不使用）	2	不可	米粉と旬の野菜のケークサレ	こってコテいけだ	不要	無	有	
